titulo;precio;ano;kilometraje;cilindrada;url;precio_num;cilindrada_cc;km;rango_cc;rango_km
VENDO MOTO EQUIPADA POCO USO UNICO DUEÑO DOCUMENTOS AL DIA;$1.650.000;2021.0;10900.0;200.0;https://www.chilemotos.com/moto/66158/;1650000.0;200.0;10900.0;0-200cc;10k-30k
Keeway RK 150 año 2022 – 8.400 km – Excelente estado;$750.000;2022.0;8400.0;150.0;https://www.chilemotos.com/moto/66077/;750000.0;150.0;8400.0;0-200cc;0-10k
Vendo Yamaha MT 03;$6.050.000;2023.0;10500.0;320.0;https://www.chilemotos.com/moto/65978/;6050000.0;320.0;10500.0;201-500cc;10k-30k
Yamaha fz 150cc;$2.000.000;2025.0;670.0;150.0;https://www.chilemotos.com/moto/65837/;2000000.0;150.0;670.0;0-200cc;0-10k
KTM 390 Adventure Equipada IMPECABLE Servicios realizados en KTM;$6.400.000;2023.0;12000.0;390.0;https://www.chilemotos.com/moto/65800/;6400000.0;390.0;12000.0;201-500cc;10k-30k
Zongshen RX3;$1.800.000;2020.0;36000.0;250.0;https://www.chilemotos.com/moto/65774/;1800000.0;250.0;36000.0;201-500cc;30k-50k
Suzuki inazuma 250;$2.500.000;2013.0;50000.0;250.0;https://www.chilemotos.com/moto/65734/;2500000.0;250.0;50000.0;201-500cc;30k-50k
Moto Suzuki GSX;$1.800.000;2021.0;59924.0;150.0;https://www.chilemotos.com/moto/65726/;1800000.0;150.0;59924.0;0-200cc;50k+
Takasaki tk150gy;$700.000;2023.0;13000.0;150.0;https://www.chilemotos.com/moto/65713/;700000.0;150.0;13000.0;0-200cc;10k-30k
Yamaha xtz 125;$1.350.000;2023.0;12500.0;125.0;https://www.chilemotos.com/moto/65708/;1350000.0;125.0;12500.0;0-200cc;10k-30k
Moto KTM Adventure 390 año 2022;$4.500.000;2022.0;18999.0;388.0;https://www.chilemotos.com/moto/65692/;4500000.0;388.0;18999.0;201-500cc;10k-30k
Moto FZX 150 Neo Retro;$2.000;2025.0;9500.0;150.0;https://www.chilemotos.com/moto/65680/;2000000.0;150.0;9500.0;0-200cc;0-10k
Vendo Moto;$4;2019.0;17.0;250.0;https://www.chilemotos.com/moto/65669/;4000000.0;250.0;17.0;201-500cc;0-10k
Moto Zongshen RX3S;$3.650.000;2023.0;7600.0;400.0;https://www.chilemotos.com/moto/65661/;3650000.0;400.0;7600.0;201-500cc;0-10k
Venta de Moto casi nueva;$1.700.000;2023.0;45.0;150.0;https://www.chilemotos.com/moto/65639/;1700000.0;150.0;45.0;0-200cc;0-10k
moto bacan;$500;2001.0;500.0;500.0;https://www.chilemotos.com/moto/65619/;500000.0;500.0;500.0;201-500cc;0-10k
2022 SUNRA MIKU MAX;$880.000;2022.0;10.0;50.0;https://www.chilemotos.com/moto/65574/;880000.0;50.0;10.0;0-200cc;0-10k
vendo motocicleta deportiva;$2.600.000;2022.0;10000.0;150.0;https://www.chilemotos.com/moto/65566/;2600000.0;150.0;10000.0;0-200cc;0-10k
Se vende por urgencia;$1.650.000;2022.0;12900.0;250.0;https://www.chilemotos.com/moto/65553/;1650000.0;250.0;12900.0;201-500cc;10k-30k
VENDO;$8.900.000;2016.0;22997.0;1.0;https://www.chilemotos.com/moto/65525/;8900000.0;1000.0;22997.0;501-1000cc;10k-30k
YAMAHA XSR700 2020;$6.800.000;2020.0;15133.0;700.0;https://www.chilemotos.com/moto/65497/;6800000.0;700.0;15133.0;501-1000cc;10k-30k
Se vende Yamaha Fzx 150 2025;$2.000.000;2025.0;9000.0;150.0;https://www.chilemotos.com/moto/65485/;2000000.0;150.0;9000.0;0-200cc;0-10k
BMW gs 310;$3.800.000;2021.0;12000.0;310.0;https://www.chilemotos.com/moto/65388/;3800000.0;310.0;12000.0;201-500cc;10k-30k
Vespa 300..un solo uso;$6.700.000;2025.0;30.0;300.0;https://www.chilemotos.com/moto/65332/;6700000.0;300.0;30.0;201-500cc;0-10k
BMW C400 GT como nueva;$11.000.000;2022.0;1000.0;400.0;https://www.chilemotos.com/moto/65331/;11000000.0;400.0;1000.0;201-500cc;0-10k
Suzuki boulevard s40 (LS 650);$4.000.000;2018.0;6000.0;652.0;https://www.chilemotos.com/moto/67916/;4000000.0;652.0;6000.0;501-1000cc;0-10k
Motoneta clásica, como nueva;$2.580.000;2023.0;2350.0;125.0;https://www.chilemotos.com/moto/67907/;2580000.0;125.0;2350.0;0-200cc;0-10k
Ducati Diavel 1260S 2022;$20.990.000;2022.0;5444.0;1.26;https://www.chilemotos.com/moto/66724/;20990000.0;1260.0;5444.0;1000cc+;0-10k
Triumph tiger 850 sport 2023;$10.200.000;2023.0;15400.0;888.0;https://www.chilemotos.com/moto/66672/;10200000.0;888.0;15400.0;501-1000cc;10k-30k
Honda cb500 x;$5.300.000;2020.0;21000.0;500.0;https://www.chilemotos.com/moto/66644/;5300000.0;500.0;21000.0;201-500cc;10k-30k
MOTORRAD TTX150 – AÑO 2022;$850.000;2022.0;11700.0;150.0;https://www.chilemotos.com/moto/66633/;850000.0;150.0;11700.0;0-200cc;10k-30k
Yamaha Nmax Connected 155;$3.100.000;2024.0;2000.0;155.0;https://www.chilemotos.com/moto/66612/;3100000.0;155.0;2000.0;0-200cc;0-10k
🛵 Vespa GTS 300 ABS – Año 2019 – Muy buen estado;$4.600.000;2019.0;24700.0;300.0;https://www.chilemotos.com/moto/66589/;4600000.0;300.0;24700.0;201-500cc;10k-30k
Bajaj Dominar 250. Único dueño. Muy poco uso;$2.800.000;2022.0;2450.0;250.0;https://www.chilemotos.com/moto/66572/;2800000.0;250.0;2450.0;201-500cc;0-10k
Honda XR 250 Tornado;$2.500.000;2014.0;52920.0;249.0;https://www.chilemotos.com/moto/66516/;2500000.0;249.0;52920.0;201-500cc;50k+
HUSQVARNA Svartpilen 250;$2.800.000;2021.0;50.0;250.0;https://www.chilemotos.com/moto/66494/;2800000.0;250.0;50.0;201-500cc;0-10k
SYM 200 TAYWANESA CON NYECCION;$2.200;2023.0;6000.0;200.0;https://www.chilemotos.com/moto/66453/;2200000.0;200.0;6000.0;0-200cc;0-10k
